mode,cycles,mean_error,max_error,pair_rms,triad_rms,viable,mid,ultra,singular,deep,very_deep,ultra_deep,access,spread,rollbacks,waste,reopen_events,phase_switches,runtime,seed,trial
topology_only,650,0.0054355523261675875,0.007005632021477932,0.002585752999587372,0.0014830536366101708,8,8,8,8,8,3,0,0.6425812057072737,0.08652468395602274,0,0.0,226,188,0.24747380000189878,20360612,4
topology_only,650,0.0061858583810223584,0.008909104625876126,0.0022910617850352096,0.002154404503175217,8,8,8,8,8,2,0,0.6457198422685084,0.08501099858936804,0,0.0,348,152,0.2977499999979045,20360613,5
topology_only,650,0.00581131394654635,0.007483138650018233,0.0019188359619226047,0.0021694029106263777,8,8,8,8,8,2,0,0.6452519724446761,0.0862700587934525,0,0.0,354,176,0.2577881999895908,20360614,6
topology_only,650,0.0059279700226026084,0.007979572798002484,0.0016325005996022219,0.004456043861513153,8,8,8,8,8,0,0,0.6446951637342915,0.0868304811899709,0,0.0,484,170,0.2375060000049416,20360615,7
topology_only,650,0.005424027552648127,0.005991327685339302,0.002277938854072963,0.002776927862415994,8,8,8,8,8,2,0,0.644800415000469,0.08726168332043412,0,0.0,381,159,0.24791170000389684,20360616,8
topology_only,650,0.005915912088015923,0.008852540831784559,0.0020812919754411314,0.0027750792828542988,8,8,8,8,8,3,0,0.6428255605954782,0.08615699008106331,20,0.18388334214886898,282,151,0.24820370000088587,20360617,9
topology_only,650,0.005829135493724902,0.0060382944307145045,0.0021939702723850064,0.0018717688452833544,8,8,8,8,8,0,0,0.6459511028160101,0.08660709612831252,0,0.0,484,140,0.24759420000191312,20360618,10
topology_only,650,0.006033020107806619,0.007046562175044506,0.0016254360983064683,0.001329391325289177,8,8,8,8,8,0,0,0.6460475395447703,0.0862909643787159,0,0.0,512,138,0.26412100000015926,20360619,11
topology_only,650,0.005533567638843213,0.006643089234203817,0.0031442064265809967,0.0020175307368629066,8,8,8,8,8,3,0,0.645247269079299,0.08733756186743202,0,0.0,324,145,0.2690636000043014,20360620,12
topology_only,650,0.005506184071385718,0.007387404351116275,0.002733355286029609,0.002008329835192914,8,8,8,8,8,3,0,0.6451281224304459,0.08670633957254044,0,0.0,236,153,0.25878499999816995,20360621,13
topology_only,650,0.005522464806567864,0.006316050831619324,0.0017162021959923667,0.001980041620975973,8,8,8,8,8,3,0,0.6457439402475916,0.08602844122557436,0,0.0,306,175,0.2720792000036454,20360622,14
topology_only,650,0.006804810221041671,0.010947952564656896,0.001505341133997127,0.005111405814264008,8,8,8,8,7,1,0,0.6465856577555505,0.08714309023458962,0,0.0,284,186,0.2585756000044057,20360623,15
